YEAR,MAKE,MODEL,SECTION,TITLE,DESCRIPTION,PDF
2015,Audi,A3,PDF,2015 Audi A3 — Owner's Manual,,https://ownersmanuals2.com/d/65224
2016,Audi,A3 / S3,PDF,2016 Audi A3 / S3 — Owner's Manual,"If you plan to tow a trailer, please remember that the additional load will affect durability, economy and performance. Trailer towing not only places more stress on the vehicle, it also calls for more concentration from the driver. For this reason, always follow the operating and driving instructions provided and use common sense. Use a weight-carrying hitch conforming to the gross trailer weight.

The hitch must be suitable for your vehicle and trailer and must be mounted securely on the vehicle's chassis at a technically sound location. Use only a trailer hitch with a removable ball mount. Always check with the trailer hitch manufacturer to make sure that you are using the correct hitch. Do not use a bumper hitch.

The hitch must be installed in such a way that it does not interfere with the impact -absorbing bumper system. No modifications should be made to the vehicle exhaust and brake systems. From time to time, check that all hitch mounting bolts remain securely fastened. When you are not towing a trailer, remove the trailer hitch ball mount.

This prevents the hitch from causing damage should your vehicle be struck from behind. If your trailer is equipped with a braking system, check to be sure that it conforms to all regulations. The trailer hydraulic brake system must not be directly connected to the vehicle's hydraulic brake system.",https://ownersmanuals2.com/d/71175
2015,Audi,A3 / S3,PDF,2015 Audi A3 / S3 — Owner's Manual,,https://ownersmanuals2.com/d/65192
2012,Audi,A3 / S3,PDF,2012 Audi A3 / S3 — Owner's Manual,"There must be at least 10 inches (25 cm) between your chest and the center of the steering wheel. If you cannot sit more than 10 inches (25 cm) from the steering wheel, see if adaptive equipment is available to help you reach the pedals and increase the distance from the steering wheel. For detailed information on how to adjust the driver's seat, see page 63, Power seat adjustment. The steering wheel can be adjusted even when the ignition is turned off.

To lock the steering after you have removed the ignition key, turn the steering wheel in either direction until you hear it lock into place. You should always lock the steering whenever you leave your vehicle. This makes a vehicle theft even more difficult. If it is difficult to turn the key after you have inserted it into the ignition lock, turn the steering wheel back and forth.

This will take the load off the steering lock mechanism and you will be able to turn the key freely and start the engine. On vehicles with a diesel engine*, the system can preheat in this position. Starting the engine. In this position, the engine starts.

While the engine is starting, the power supply to the headlights and other electrical consumers is temporarily interrupted to conserve battery power. After the engine has started, release the key and it will return to position.",https://ownersmanuals2.com/d/71859
2011,Audi,A3 / S3,PDF,2011 Audi A3 / S3 — Owner's Manual,"At temperatures below 20° F (-7° C), Diesel fuel No. 2 loses its fluidity due to wax separation, which may clog the fuel filter or tank filter and keep the engine from running. To help the filter from being clogged by wax, the fuel filter in your vehicle is automatically preheated. Preheating the fuel filter makes operation of your vehicle possible with Diesel fuel No. 2 down to - 10° F (-24° C). If you expect temperatures below 5° F (-15° C) ask your fuel dealer whether their Diesel fuel No. 2 is sufficiently winterized for the prevailing and expected temperatures.

If not winterized or insufficiently winterized diesel fuel has already thickened to the extent that the engine will not start, warm the vehicle up by leaving it in a heated garage. It is normal that the engine noise level (dieseling) is louder during the warm-up period in winter. It is also normal when whitish -blue smoke comes out of the tailpipe after starting and during warm-up. The amount of smoke depends on the outside temperature.

Do not let your diesel engine idle unnecessarily after a cold start. Driving off slowly will shorten the warm-up period.",https://ownersmanuals2.com/d/71867
2010,Audi,A3 / S3,PDF,2010 Audi A3 / S3 — Owner's Manual,"Change speed in increments of 1 mph (1 km/h) by lightly pressing the lever. If you keep the lever pressed down, you will alter your speed in 5 mph 10 km/hl increments. You can also press the accelerator pedal down to increase your speed, e.g. if you want to pass someone.

The speed you saved earlier will resume as soon as you release the accelerator pedal. If, however, you exceed your saved speed by 5 mph (10 km/h) for longer than 5 minutes, the cruise control will turn off temporarily. The symbol will go out but the saved speed will be retained. Vehicles with manual transmission: You can attain the set speed only if the currently engaged gear allows it and the engine is not stressed.

Shifting to a higher or lower gear promptly will allow the engine to run smoothly. The cruise control cannot maintain a constant speed when driving downhill. The vehicle will accelerate under its own weight. Downshift to a lower gear or use the brakes to slow down.

Your vehicle is equipped with a S tronic transmission, also called a double-clutch system/transmission. Power is transferred between the engine and the transmission by means of two independent clutches. They replace the torque converter of conventional automatic transmissions and allow the vehicle to accelerate without a noticeable break in the power flow. With the aid of Tiptronic, the gears can optionally be shifted manually (page 118).",https://ownersmanuals2.com/d/71856
2009,Audi,A3 / S3,PDF,2009 Audi A3 / S3 — Owner's Manual,"With this setting, you attain maximum comfort in the least amount of time. Change t his setting, as desired, to meet your personal needs. The climate controls are a combination of heating, ventilation and cooling systems, which automatically reduce humidity and cool the air inside your vehicle. The air temperature, air flow, and air distribution are automatically regulated to achieve and maintain the desired passenger compartment temperature as quickly as possible.

The system automatically compensates for changes in the outside temperature and for the intensity of the sunlight entering the vehicle. We recommend you use the Automatic mode (page 101) for year-round comfort. When the outside temperature is high and the air is very humid, condensation from the evaporator may drip under the vehicle. This is normal and does not indicate a leak.

If the outside temperature is low, the fan normally only switches to a higher speed once the engine coolant has warmed up sufficiently. The air conditioner temporarily switches off when you drive off from a standstill using full throttle to save engine power. The compressor also switches off if the coolant temperature is too high so that the engine can be adequate ly cooled under extreme loads. The air pollutants filter (a combined particle filter and activated charcoal filter) reduces or eliminates outside air pollution (dust, or pollen) from entering the vehicle.

The air pollutants filter must be changed at the intervals specified in your Warranty & Maintenance booklet so that the air conditioner can properly work.",https://ownersmanuals2.com/d/71862
2008,Audi,A3 / S3,PDF,2008 Audi A3 / S3 — Owner's Manual,"The selector lever lock is effective only when the vehicle is stationary and at speeds below 5 km/h. At higher speeds, the lock in the N position is automatically switched off. The selector lever is not locked when rapid shifts are made through the N position (e.g. from R to D). This allows you to ""rock"" the vehicle if it becomes stuck.

If the lever is in the N position for more than 1 second with the brake pedal not depressed, the selector lock engages automatically. The release button in the selector lever handles prevents accidental shifts into certain selector lever positions. When you press the release button, the selector lever lock is cancel led. In the illustration, the positions in which the release button has to be pressed are highlighted in color - page 145, fig. 139.

Switching to manual can be carried out with the vehicle stationary as well as moving. When accelerating, the transmission shifts into the next gear in gears 1, 2, 3, 4 and 5 shortly before the maximum permissible engine speed is reached. The selector paddles on the steering wheel are activated when the selector lever on the center console is in D, S, or in the manual position (Tiptronic mode). You can also shift gears in the Tiptronic mode using the selector lever on the center console.

In the event of system malfunctions, the automatic transmission switches to the fail-safe mode. This is signaled by one segment or all the segments in the display illuminating or going out. The effect of a system malfunction can be one of the following: The program shifts only into certain gears. Reverse gear can no longer be engaged.

The manual shift program (tiptronic) is switched off in the failsafe mode.",https://ownersmanuals2.com/d/71864
2016,Audi,A3 Cabriolet,PDF,2016 Audi A3 Cabriolet — Owner's Manual,"Vehicles left behind. If you slow ly pass a vehicle that side assist has detected (the difference in speed between the vehicle and your vehicle is less than 9 mph or 15 km/h), the display in the exterior mirror turns on as soon as the vehicle enters your blind spot. The display will not turn on if you quickly pass a vehicle that side assist has detected (the difference in speed between the vehicle and your vehicle is greater than 9 mph or 15 km/h). Functional limitations.

The radar sensors are designed to detect the left and right adjacent lanes when the road lanes are the normal width. In some situations, the display in the exterior mirror may turn on even though there is no vehicle located in the area that is criti· cal for a lane change. Do not cover the radar sensors with stickers, deposits, bicycle wheels or other objects, because this will affect the function. Do not use side assist when towing a trailer.

For information on cleaning, refer to page 224.",https://ownersmanuals2.com/d/72221
2015,Audi,A3 Cabriolet,PDF,2015 Audi A3 Cabriolet — Owner's Manual,,https://ownersmanuals2.com/d/65220
2020,Audi,A3 Sedan / S3 Sedan,PDF,2020 Audi A3 Sedan / S3 Sedan — Owner's Manual,,https://ownersmanuals2.com/d/75017
2019,Audi,A3 Sedan / S3 Sedan,PDF,2019 Audi A3 Sedan / S3 Sedan — Owner's Manual,"The display brightness adjusts automatically to the brightness of the surroundings, both in the information and in the warning stage. In very dark or very bright surroundings, the automatic adjustment will set the display to the minimum or maximum level. In such cases, you may notice no change when adjusting the brightness, or the change may only be noticeable once the surroundings change. Adjust the brightness to a level where the display in the information stage will not disrupt your view ahead.

If you change the brightness, the display in the exterior mirror will briefly show the brightness level in the information stage. The brightness of the warning stage is linked to the brightness in the information stage and is adjusted along with the information stage.",https://ownersmanuals2.com/d/73454
2018,Audi,A3 Sedan / S3 Sedan,PDF,2018 Audi A3 Sedan / S3 Sedan — Owner's Manual,"The boost function is activated by pressing the accelerator pedal farther down (kick-down). The vehicle is powered by both the gasoline engine and the electric motor when in full acceleration. Boost is only available for a short time because it uses a large amount of energy. Availability depends on the high-voltage battery charge level.

The gasoline engine switches off and disengages at speeds up to approximately 1 12 mph (180 km/h) if the accelerator pedal is not pressed and the ""D"" position is selected. Driving conservatively like this can reduce fuel consumption. When braking, the electric motor will act as a generator creating electric energy that is then stored in the high-voltage battery. This also occurs when the vehicle is coasting or driving downhill.

If the brakes are applied early and evenly. By doing this, a large amount of the kinetic energy is recovered and may be stored as electric energy in the high-voltage battery. The conventional brakes are also activated when the brakes are pressed very hard.",https://ownersmanuals2.com/d/72485
2017,Audi,A3 Sedan / S3 Sedan,PDF,2017 Audi A3 Sedan / S3 Sedan — Owner's Manual,"If luggage or cargo is to be carried on the roof, you must observe the following: Only a specially designed roof rack may be used on your vehicle. These roof racks are the basis for a complete roof rack system. Additional attachments/carrier systems are necessary to transport luggage and sports equipment. The permissible roof load for your vehicle is 165 lb (7 5 kg).

The roof load is the total of the weight of the roof rack, the attachments and the cargo you are carrying. However, you must also note the permitted load of the carrier system being used. The permitted axle load and the permitted total vehicle weight. A new vehicle must be broken in for the first 1,000 miles (1,500 km).

Do not drive at speeds that will exceed 2/3 of the maximum permitted engine speed (RPM) for the first 600 miles (1,000 km), and avoid full acceleration during this period. You may gradually start increasing the RPM and the speed between 600 miles (1,000 km) and 1,000 miles (1,500 km). During the first hours of use, the engine has a higher internal friction than later on when all moving parts have settled into place with each other. How the vehicle is driven during the first 1,000 miles (1,500 km) also affects the engine quality.

Drive at moderate engine speeds after the initial break-in period, particularly when running a cold engine. This will reduce engine wear and improve the mileage. Do not drive at too low of an engine speed (RPM). Shift down if the engine stops running ""smoothly"".

Extremely high engine speeds are automatically reduced. The amount of fuel consumption, the environmental impact and the wear to the engine, brakes, and tires depends mostly on your driving style. With an anticipatory and economic driving style, fuel consumption can be reduced by approximately 10-15%. The following tips will help you conserve the environment and your money at the same time.",https://ownersmanuals2.com/d/71869
2015,Audi,A3 Sedan / S3 Sedan,PDF,2015 Audi A3 Sedan / S3 Sedan — Owner's Manual,"The transmission automatically selects a gear that is suitable for the incline. Hill descent control tries to maintain the speed achieved at the time of braking, within physical and technical limitations. If may still be necessary to adjust the speed with the brakes. Because hill descent control cannot shift down farther than 3rd gear, it may be necessary to shift into tiptronic mode in very steep areas.

In this case, shift into 1st or 2nd gear in tiptronic mode to use the engine's braking force to relieve the brakes. Hill descent control switches off once the decline levels out or you press the accelerator pedal. If the shift paddles are tapped while in the D/S selector lever position, automatic mode switches off briefly. To switch from manually shifting back to automatic shifting immediately, tap the shift paddle fig.

76 for 1 second. To keep shifting using the shift paddles, move the selector lever to the right out of the D/S position into the tiptronic shift gate. The transmission automatically shifts up or down before critical engine speed is reached. The transmission only allows manual shifting when the engine speed is within the permitted range.

When you press the accelerator pedal down beyond the resistance point, the automatic transmission downshifts into a lower gear, depending on vehicle speed and engine RPM. It shifts up into the next higher gear once the maximum specified engine RPM is reached.",https://ownersmanuals2.com/d/71870
2020,Audi,A4 / S4,PDF,2020 Audi A4 / S4 — Owner's Manual,,https://ownersmanuals2.com/d/77805
2019,Audi,A4 / S4,PDF,2019 Audi A4 / S4 — Owner's Manual,"Within the limits of the system, pre sense city can warn you of impending collisions with vehicles and pedestrians and initiate the applicable braking maneuver if needed. Pre sense city is active at speeds of approximately 6 mph (10 km/h) and higher. A pedestrian warning can occur at speeds up to 50 mph (85 km/h), and vehicle warnings can occur at speeds up to 155 mph (250 km/h). A pre sense city braking maneuver is possible at speeds up to 50 mph (85 km/h).",https://ownersmanuals2.com/d/73456
2018,Audi,A4 / S4,PDF,2018 Audi A4 / S4 — Owner's Manual,"The predictive efficiency assist helps the driver to drive with anticipation and therefore helps to save fuel. The system accesses predictive trip data (including speed limits, inclines and the radius of curves) from the navigation system*. Information from the camera-based traffic sign recognition* is also applied to recognize traffic signs page 104. The messages displayed depend on the navigation data* being up-to-date and the correct identification by the traffic sign recognition*.

When adaptive cruise control* is switched off, the predictive efficiency assist only provides notifications without controlled interventions. When adaptive cruise control* is switched on, the system responds to upcoming situations automatically. Predictive messages appear in the instrument cluster display to show the driver the appropriate time to coast when a situation ahead requires you to drive at a lower speed. The messages are only shown if the cruise control system* or adaptive cruise control* is switched off.

The adaptive cruise control system is a combination of speed and distance regulation. It assists the driver by both regulating the speed and maintaining a distance to the vehicle driving ahead, within the limits of the system. If the system detects a vehicle driving ahead, the adaptive cruise control can brake and accelerate your vehicle. This increases driving comfort during long trips on highways and in stop-and-go traffic (automatic transmission*).",https://ownersmanuals2.com/d/72224
2017,Audi,A4 / S4,PDF,2017 Audi A4 / S4 — Owner's Manual,"A lot of stress is placed on the battery when driving short distances, in traffic, and at cold times of the year. A lot of energy is used but little is generated. It is also critical when the engine is not running but electrical equipment is switched on. In this case, energy is used but none is generated.

In situations like this, energy management will actively regulate the distribution of energy. If you do not drive your vehicle for several days or weeks, electrical equipment is gradually scaled back or switched off. This reduces energy use and ensures the vehicle will be able to start after long periods of time. Some convenience functions, such as interior lighting or power seat adjustment, may not be available under certain circumstances.

These convenience functions will be available again once you switch the ignition on and start the engine. The battery will drain if you use Infotainment functions such as listening to the radio while the engine is switched off. If the vehicle's ability to start may be impaired by the energy use, a message will appear in the Infotainment system display. The message indicates that the system will switch off automatically soon.

If you would like to continue using the functions, you must start the engine.",https://ownersmanuals2.com/d/71873
2016,Audi,A4 / S4,PDF,2016 Audi A4 / S4 — Owner's Manual,"Engine speed! This driver message appears in vehicles with manual transmission if the driver had not upshifted or downshifted in time while using adaptive cruise control braking or accelerating, causing the vehicle to exceed or not reach the permitted limit speed. The adaptive cruise control turns off. A chime sounds as a reminder. Shift lever position! Vehicles with an automatic transmission: the driver message appears if the selector lever is shifted to the N position.

The adaptive cruise control is not available while in this position. Vehicles with manual transmission: the driver message appears for vehicles with manual transmission if there is no forward gear engaged, meaning if the reverse gear or the 1st gear is engaged or if the selector lever is in the neutral position. The adaptive cruise control is not available while in this position. Stabilization control (ESC).

This message appears if the electronic stabilization control (ESC) is taking action to stabilize the vehicle. The adapt ive cruise control tu rns off. A chime sounds as a reminder. Speed too low.

This message appears if the current speed is too low to set or to maintain the desired speed. The speed being saved must be at least 20 mph (3 0 km/h). The cruise control is turned off for speeds lower than 12 mph (20 km/h). The adaptive cruise control remains turned on for speeds above 95 mph (150 km/h) (override).

It will stabilize again at 95 mph (150 km/h) when the driver takes his foot off of the gas pedal.",https://ownersmanuals2.com/d/71874
